asn=260  	id=14  	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=298  	id=2   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=301  	id=7   	Node	scanning on channel=20...[NODE]
asn=301  	id=14  	Node	scanning on channel=25...[NODE]
asn=301  	id=13  	Node	scanning on channel=25...[NODE]
asn=301  	id=8   	Node	scanning on channel=15...[NODE]
asn=301  	id=3   	Node	scanning on channel=26...[NODE]
asn=301  	id=5   	Node	scanning on channel=20...[NODE]
asn=301  	id=11  	Node	scanning on channel=20...[NODE]
asn=301  	id=10  	Node	scanning on channel=25...[NODE]
asn=336  	id=1   	Node	add neighbor id=4 [NODE]
asn=336  	id=1   	Node	Add_route called from ensure neighbor
asn=336  	id=8   	Node	add neighbor id=4 [NODE]
asn=336  	id=8   	Node	Add_route called from ensure neighbor
asn=336  	id=8   	TSCH	joined/associated at 3.36 on receiving an EB packet from 4[NODE]
asn=336  	id=8   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=336  	id=8   	Node	update time source called [NODE]
asn=336  	id=8   	Main	On new time source method called from Manual Routing [ROUTING MANUAL]
asn=336  	id=8   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=336  	id=8   	Node	Start method called from Manual Routing for 8
asn=336  	id=8   	Node	Route File Read successfully [ROUTING MANUAL]
asn=336  	id=8   	Node	File loaded into struct successfully [ROUTING MANUAL]
asn=336  	id=8   	Node	Reading routes for Node 8 [ROUTING MANUAL]
asn=336  	id=8   	Node	Destination = 4, Nexthop = 4 [ROUTING MANUAL]
asn=336  	id=8   	Node	Route added to destination node id: 4 through next hop node id: 4 in the routing table of node: 8
asn=336  	id=8   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=336  	id=8   	Node	Reading routes for Node 8 [ROUTING MANUAL]
asn=336  	id=8   	Node	Destination = 1, Nexthop = 4 [ROUTING MANUAL]
asn=336  	id=8   	Node	Route added to destination node id: 1 through next hop node id: 4 in the routing table of node: 8
asn=336  	id=4   	Main	On tx method called from Manual Routing [ROUTING MANUAL]
asn=336  	id=4   	TSCH	On new time source called from New Scheduler [SCHEDULER NEW]
asn=402  	id=9   	Node	scanning on channel=20...[NODE]
asn=402  	id=7   	Node	scanning on channel=25...[NODE]
asn=402  	id=11  	Node	scanning on channel=15...[NODE]
asn=402  	id=14  	Node	scanning on channel=15...[NODE]
asn=402  	id=2   	Node	scanning on channel=15...[NODE]
asn=402  	id=13  	Node	scanning on channel=15...[NODE]
asn=402  	id=12  	Node	scanning on channel=25...[NODE]
asn=402  	id=3   	Node	scanning on channel=20...[NODE]
asn=493  	id=7   	App	skipping generation of a packet, for=1 [PACKET_SOURCE]
asn=503  	id=3   	Node	scanning on channel=26...[NODE]
asn=503  	id=10  	Node	scanning on channel=26...[NODE]
asn=503  	id=9   	Node	scanning on channel=25...[NODE]
asn=503  	id=7   	Node	scanning on channel=26...[NODE]
asn=503  	id=6   	Node	scanning on channel=20...[NODE]
asn=503  	id=12  	Node	scanning on channel=20...[NODE]
asn=503  	id=5   	Node	scanning on channel=25...[NODE]
asn=503  	id=11  	Node	scanning on channel=20...[NODE]
asn=503  	id=13  	Node	scanning on channel=26...[NODE]
